Sl,Station_Names,Year,Month,Max_Temp,Temperature,Min_Temp,Rainfall,Flood Occurrence
0,Barisal,1949,1,29.4,29.4,12.3,0,
1,Barisal,1949,2,33.9,23.1,15.2,9,
2,Barisal,1949,3,36.7,25.95,20.2,8,
3,Barisal,1949,4,33.9,27.05,23.9,140,
4,Barisal,1949,5,35.6,29.75,25,217,
5,Barisal,1949,6,34.4,29.7,25.7,512,1
6,Barisal,1949,7,33.4,29.55,25.8,575,1
7,Barisal,1949,8,33.5,29.65,25.7,349,1
8,Barisal,1949,9,34.8,30.25,25.7,252,
9,Barisal,1949,10,34,29.85,24.7,128,
10,Barisal,1949,11,31.5,28.1,17.4,41,
11,Barisal,1949,12,29.7,23.55,12.5,0,
12,Barisal,1950,1,30,21.25,14.1,0,
13,Barisal,1950,2,31.7,22.9,16.6,90,
14,Barisal,1950,3,36.1,26.35,20.5,13,
15,Barisal,1950,4,37.2,28.85,24.2,66,
16,Barisal,1950,5,36.1,30.15,25.5,87,1
17,Barisal,1950,6,33.9,29.7,26,476,1
18,Barisal,1950,7,32.2,29.1,25.9,546,1
19,Barisal,1950,8,32.8,29.35,25.6,337,1
20,Barisal,1950,9,33.9,29.75,26.4,187,
21,Barisal,1950,10,33.3,29.85,24.5,339,1
22,Barisal,1950,11,32.9,28.7,18.6,98,
23,Barisal,1950,12,30.1,24.35,14,0,
24,Barisal,1951,1,28.2,21.1,12.3,0,
25,Barisal,1951,2,32.3,22.3,16,0,
26,Barisal,1951,3,35.6,25.8,21.5,67,
27,Barisal,1951,4,36.7,29.1,24.3,137,
28,Barisal,1951,5,35.2,29.75,25.6,114,
29,Barisal,1951,6,33.9,29.75,26.2,394,1
30,Barisal,1951,7,35,30.6,26,375,1
31,Barisal,1951,8,33.3,29.65,26.4,194,
32,Barisal,1951,9,34.4,30.4,25.5,286,
33,Barisal,1951,10,33.3,29.4,25.1,301,1
34,Barisal,1951,11,31.1,28.1,20,31,
35,Barisal,1951,12,31.7,25.85,15.7,0,
36,Barisal,1952,1,26.6,21.15,12.3,2,
37,Barisal,1952,2,30.6,21.45,15.2,8,
38,Barisal,1952,3,33.3,24.25,20.2,33,
39,Barisal,1952,4,34,27.1,23.9,85,
40,Barisal,1952,5,33.6,28.75,25,196,
41,Barisal,1952,6,32.9,28.95,25.7,406,1
42,Barisal,1952,7,31.2,28.45,25.6,414,1
43,Barisal,1952,8,31.4,28.5,25.7,349,1
44,Barisal,1952,9,32.5,29.1,25.5,275,
45,Barisal,1952,10,32,28.75,23.8,171,
46,Barisal,1952,11,30.7,27.25,18.8,35,
47,Barisal,1952,12,27.8,23.3,13.7,4,
48,Barisal,1953,1,30,21.85,13.3,10,
49,Barisal,1953,2,32.8,23.05,15.5,3,
50,Barisal,1953,3,35,25.25,22.9,3,
51,Barisal,1953,4,36.7,29.8,25.1,46,
52,Barisal,1953,5,36.1,30.6,25.2,339,1
53,Barisal,1953,6,35.6,30.4,25.2,715,1
54,Barisal,1953,7,35,30.1,25.5,526,1
55,Barisal,1953,8,36.7,31.1,25.7,167,
56,Barisal,1953,9,35,30.35,25.7,174,
57,Barisal,1953,10,33.1,29.4,24.3,45,
58,Barisal,1953,11,30.6,27.45,19.1,0,
59,Barisal,1953,12,29.4,24.25,16.1,0,
60,Barisal,1954,1,27.8,21.95,12.7,0,
61,Barisal,1954,2,33.4,23.05,17.9,3,
62,Barisal,1954,3,36.7,27.3,20.5,56,
63,Barisal,1954,4,37.1,28.8,25.6,14,
64,Barisal,1954,5,37.1,31.35,26.3,70,
65,Barisal,1954,6,36,31.15,25.4,500,1
66,Barisal,1954,7,33,29.2,25.8,260,
67,Barisal,1954,8,33.8,29.8,26.4,360,
68,Barisal,1954,9,34.1,30.25,26.4,144,
69,Barisal,1954,10,33.2,29.8,23.7,169,
70,Barisal,1954,11,29.7,26.7,17.7,1,
71,Barisal,1954,12,29.3,23.5,15.2,6,
72,Barisal,1955,1,26.6,20.9,12.3,2,
73,Barisal,1955,2,30.5,21.4,15.2,8,
74,Barisal,1955,3,33.3,24.25,20.2,33,
75,Barisal,1955,4,34,27.1,23.9,85,
76,Barisal,1955,5,33.6,28.75,25,196,
77,Barisal,1955,6,32.9,28.95,25.7,406,1
78,Barisal,1955,7,31.2,28.45,25.6,414,1
79,Barisal,1955,8,31.4,28.5,25.7,349,1
80,Barisal,1955,9,32.5,29.1,25.5,275,
81,Barisal,1955,10,32,28.75,23.8,171,
82,Barisal,1955,11,30.7,27.25,18.8,35,
83,Barisal,1955,12,27.8,23.3,13.7,4,
84,Barisal,1956,1,29.4,21.55,14.3,17,
85,Barisal,1956,2,32.8,23.55,14.9,0,
86,Barisal,1956,3,36.7,25.8,21.5,20,
87,Barisal,1956,4,37.2,29.35,24.3,92,
88,Barisal,1956,5,34.4,29.35,26.2,343,1
89,Barisal,1956,6,32.2,29.2,25.2,784,1
90,Barisal,1956,7,33.8,29.5,25.8,319,1
91,Barisal,1956,8,33.3,29.55,26,497,1
92,Barisal,1956,9,33.4,29.7,25.7,700,1
93,Barisal,1956,10,33.8,29.75,24.5,184,
94,Barisal,1956,11,31.3,27.9,20,46,
95,Barisal,1956,12,29.5,24.75,14.9,0,
96,Barisal,1957,1,30.1,22.5,15.1,104,
97,Barisal,1957,2,30.6,22.85,16.3,13,
98,Barisal,1957,3,36.6,26.45,20,0,
99,Barisal,1957,4,37.3,28.65,24.9,1,
100,Barisal,1957,5,36.2,30.55,26.7,22,
101,Barisal,1957,6,35.5,31.1,26.5,244,
102,Barisal,1957,7,33.3,29.9,26,564,1
103,Barisal,1957,8,35.5,30.75,26.3,286,
104,Barisal,1957,9,34.4,30.35,26.3,216,
105,Barisal,1957,10,33.2,29.75,24.4,52,
106,Barisal,1957,11,30.7,27.55,18.5,0,
107,Barisal,1957,12,29.4,23.95,14.8,0,
108,Barisal,1958,1,31.1,22.95,15.5,0,
109,Barisal,1958,2,30.5,23,16.6,12,
110,Barisal,1958,3,33.6,25.1,16.5,51,
111,Barisal,1958,4,36.6,26.55,24.5,129,
112,Barisal,1958,5,36.1,30.3,26.2,289,1
113,Barisal,1958,6,35.5,30.85,27,171,
114,Barisal,1958,7,33.3,30.15,26.2,414,1
115,Barisal,1958,8,33.4,29.8,26.1,268,
116,Barisal,1958,9,34.4,30.25,26,321,1
117,Barisal,1958,10,33.8,29.9,25.5,208,
118,Barisal,1958,11,32.2,28.85,21.2,0,
119,Barisal,1958,12,28.8,25,16.7,0,
120,Barisal,1959,1,29.9,23.3,14.5,24,
121,Barisal,1959,2,30.5,22.5,15.6,5,
122,Barisal,1959,3,36.4,26,20.6,59,
123,Barisal,1959,4,37.2,28.9,24.9,59,
124,Barisal,1959,5,36.1,30.5,25.6,258,
125,Barisal,1959,6,34.6,30.1,25.8,377,1
126,Barisal,1959,7,33.8,29.8,25.8,751,1
127,Barisal,1959,8,32.7,29.25,25.8,621,1
128,Barisal,1959,9,33.8,29.8,25.3,608,1
129,Barisal,1959,10,32.3,28.8,24.3,475,1
130,Barisal,1959,11,29.9,27.1,18.5,0,
131,Barisal,1959,12,27.2,22.85,14.8,0,
132,Barisal,1960,1,27.3,21.05,12.8,0,
133,Barisal,1960,2,32.7,22.75,16.5,0,
134,Barisal,1960,3,34.9,25.7,19.6,36,
135,Barisal,1960,4,36.6,28.1,24.9,13,
136,Barisal,1960,5,37.2,31.05,26.4,324,1
137,Barisal,1960,6,34.4,30.4,26.5,433,1
138,Barisal,1960,7,32.8,29.65,25.5,716,1
139,Barisal,1960,8,33.6,29.55,26.6,823,1
140,Barisal,1960,9,34,30.3,25.9,650,1
141,Barisal,1960,10,33.8,29.85,24.1,316,1
142,Barisal,1960,11,31.7,27.9,18.8,79,
143,Barisal,1960,12,28.3,23.55,15.1,0,
144,Barisal,1961,1,28.8,21.95,14.5,8,
145,Barisal,1961,2,31.6,23.05,14.9,43,
146,Barisal,1961,3,34.4,24.65,22.8,51,
147,Barisal,1961,4,37.2,30,24.8,44,
148,Barisal,1961,5,36.6,30.7,25.5,303,1
149,Barisal,1961,6,36.1,30.8,25.7,553,1
150,Barisal,1961,7,34.4,30.05,26.2,244,
151,Barisal,1961,8,33.8,30,26,529,1
152,Barisal,1961,9,33.3,29.65,26,206,
153,Barisal,1961,10,33.3,29.65,24.6,108,
154,Barisal,1961,11,31.8,28.2,19.3,0,
155,Barisal,1961,12,26.6,22.95,12.6,0,
156,Barisal,1962,1,28.3,20.45,11.6,0,
157,Barisal,1962,2,31.6,21.6,16.2,44,
158,Barisal,1962,3,37.2,26.7,19.9,0,
159,Barisal,1962,4,36.6,28.25,24.6,1,
160,Barisal,1962,5,36.1,30.35,24.4,134,
161,Barisal,1962,6,34.8,29.6,25.7,325,1
162,Barisal,1962,7,34.4,30.05,26.6,421,1
163,Barisal,1962,8,35.6,31.1,26.2,229,
164,Barisal,1962,9,33.8,30,26.3,333,1
165,Barisal,1962,10,32.7,29.5,24.3,154,
166,Barisal,1962,11,30.5,27.4,18.9,262,
167,Barisal,1962,12,27.7,23.3,14.5,0,
168,Barisal,1963,1,27.7,21.1,12.2,0,
169,Barisal,1963,2,32.7,22.45,17.3,0,
170,Barisal,1963,3,36.6,26.95,20.2,260,
171,Barisal,1963,4,35.5,27.85,23.3,54,
172,Barisal,1963,5,34.9,29.1,24.6,252,
173,Barisal,1963,6,34.9,29.75,26.2,232,
174,Barisal,1963,7,32.7,29.45,26.2,372,1
175,Barisal,1963,8,36.1,31.15,26,234,
176,Barisal,1963,9,34.4,30.2,26.1,274,
177,Barisal,1963,10,33.4,29.75,24.6,385,1
178,Barisal,1963,11,31.1,27.85,19,0,
179,Barisal,1963,12,29.4,24.2,15.3,0,
180,Barisal,1964,1,26.6,20.95,12.3,0,
181,Barisal,1964,2,30.6,21.45,15.2,2,
182,Barisal,1964,3,33.3,24.25,20.2,3,
183,Barisal,1964,4,34,27.1,23.9,52,
184,Barisal,1964,5,33.6,28.75,25,47,
185,Barisal,1964,6,32.9,28.95,25.7,225,
186,Barisal,1964,7,31.2,28.45,25.6,318,1
187,Barisal,1964,8,31.4,28.5,25.7,254,
188,Barisal,1964,9,32.5,29.1,25.5,148,
189,Barisal,1964,10,32,28.75,23.8,214,
190,Barisal,1964,11,30.7,27.25,18.8,78,
191,Barisal,1964,12,27.8,23.3,13.7,0,
192,Barisal,1965,1,26.6,20.15,12.3,0,
193,Barisal,1965,2,30.5,21.4,15.2,44,
194,Barisal,1965,3,33.3,24.25,20.2,34,
