Flood?,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Avg Temp
0,68,0.453703704,0.6,7.831914894,20.85
0,63,0.659259259,0.9,8.314893617,24.55
0,59,1.085185185,1.5,8.131914894,28.45
0,71,1.772222222,3.9,8.219148936,28.9
0,76,1.703703704,4.1,7.046808511,30.3
1,80,1.631481481,5.6,4.072340426,30.05
1,85,1.57037037,5.4,3.738297872,29.6
1,86,1.32962963,5.6,4.272340426,29.6
0,83,0.937037037,4.8,4.823404255,30.25
0,78,0.490740741,3.1,7,29.35
0,68,0.312962963,0.9,7.85106383,24.45
0,66,0.337037037,0.3,7.725531915,21.1
0,77,0.453703704,0.8,7.831914894,22.05
0,76,0.659259259,1.7,8.314893617,24.15
0,70,1.085185185,2.9,8.131914894,28.3
0,75,1.772222222,3.3,8.219148936,30.7
1,78,1.703703704,4.8,7.046808511,30.8
1,87,1.631481481,7.2,4.072340426,29.95
1,89,1.57037037,6.8,3.738297872,29.05
1,90,1.32962963,7.4,4.272340426,29.2
0,84,0.937037037,6.5,4.823404255,30.15
1,85,0.490740741,5.8,7,28.9
0,73,0.312962963,2.9,7.85106383,25.75
0,68,0.337037037,1.5,7.725531915,22.05
0,77,0.453703704,0.6,7.831914894,20.25
0,76,0.659259259,0.6,8.314893617,24.15
0,70,1.085185185,4,8.131914894,28.55
0,75,1.772222222,4.6,8.219148936,30.5
0,78,1.703703704,3.9,7.046808511,30.4
1,87,1.631481481,6.7,4.072340426,30.05
1,89,1.57037037,7.2,3.738297872,30.5
0,90,1.32962963,7.3,4.272340426,29.85
0,84,0.937037037,5.5,4.823404255,29.95
1,85,0.490740741,4.8,7,29.2
0,73,0.312962963,2.5,7.85106383,25.55
0,68,0.337037037,2.1,7.725531915,23.7
0,77,0.453703704,1,7.831914894,19.45
0,75,0.659259259,1.5,8.314893617,22.9
0,73,1.085185185,2.4,8.131914894,26.75
0,78,1.772222222,3.7,8.219148936,28.95
0,81,1.703703704,4.7,7.046808511,29.3
1,87,1.631481481,6.2,4.072340426,29.3
1,88,1.57037037,6.5,3.738297872,28.4
1,88,1.32962963,6.4,4.272340426,28.55
0,87,0.937037037,5.6,4.823404255,29
0,85,0.490740741,3.6,7,27.9
0,80,0.312962963,2,7.85106383,24.75
0,63,0.337037037,1,7.725531915,20.75
0,75,0.453703704,1.6,7.831914894,21.65
0,75,0.659259259,2.2,8.314893617,24.15
0,78,1.085185185,3.1,8.131914894,28.95
0,76,1.772222222,3.9,8.219148936,30.9
1,81,1.703703704,5.3,7.046808511,30.65
1,88,1.631481481,7.3,4.072340426,30.4
1,91,1.57037037,6.9,3.738297872,30.25
0,87,1.32962963,6.1,4.272340426,31.2
0,87,0.937037037,5.6,4.823404255,30.35
0,80,0.490740741,3,7,28.7
0,77,0.312962963,1.4,7.85106383,24.85
0,76,0.337037037,0.6,7.725531915,22.75
0,72,0.453703704,0.5,7.831914894,20.25
0,73,0.659259259,1,8.314893617,25.65
0,65,1.085185185,1.4,8.131914894,28.6
0,72,1.772222222,3,8.219148936,31.35
0,74,1.703703704,3.8,7.046808511,31.7
1,86,1.631481481,6.4,4.072340426,30.7
0,85,1.57037037,5.6,3.738297872,29.4
0,87,1.32962963,6.6,4.272340426,30.1
0,88,0.937037037,5.6,4.823404255,30.25
0,86,0.490740741,4.3,7,28.45
0,76,0.312962963,1,7.85106383,23.7
0,78,0.337037037,2.1,7.725531915,22.25
0,77,0.453703704,1,7.831914894,19.45
0,75,0.659259259,1.5,8.314893617,22.85
0,73,1.085185185,2.4,8.131914894,26.75
0,78,1.772222222,3.7,8.219148936,28.95
0,81,1.703703704,4.7,7.046808511,29.3
1,87,1.631481481,6.2,4.072340426,29.3
1,88,1.57037037,6.5,3.738297872,28.4
1,88,1.32962963,6.4,4.272340426,28.55
0,87,0.937037037,5.6,4.823404255,29
0,85,0.490740741,3.6,7,27.9
0,80,0.312962963,2,7.85106383,24.75
0,63,0.337037037,1,7.725531915,20.75
0,74,0.453703704,0.4,7.831914894,21.85
0,69,0.659259259,1.2,8.314893617,23.85
0,72,1.085185185,1.8,8.131914894,29.1
0,77,1.772222222,2.6,8.219148936,30.75
1,83,1.703703704,5.6,7.046808511,30.3
1,87,1.631481481,6.3,4.072340426,28.7
1,86,1.57037037,5.7,3.738297872,29.8
1,87,1.32962963,5.6,4.272340426,29.65
1,85,0.937037037,4.8,4.823404255,29.55
0,84,0.490740741,3.3,7,29.15
0,81,0.312962963,1.3,7.85106383,25.65
0,79,0.337037037,0.2,7.725531915,22.2
0,80,0.453703704,1,7.831914894,22.6
